"id","duration"
"FR_51464",6780.3
"FR_51465",6431.6
"FR_51466",5169.8
"FR_51468",6110.1
"FR_51469",8006.3
"FR_51470",10567
"FR_51471",6024.5
"FR_51472",8973.8
"FR_51473",5416.5
"FR_51474",6016.6
"FR_51475",10150.6
"FR_51476",7348.1
"FR_51477",6981.5
"FR_51478",10470.8
"FR_51479",5883.6
"FR_51480",5334.5
"FR_51482",8713.8
"FR_51483",7257
"FR_51484",6152.8
"FR_51485",7622.6
"FR_51486",7757.5
"FR_51487",7967.6
"FR_51488",6559.5
"FR_51489",9635.3
"FR_51490",8621.1
"FR_51491",8840
"FR_51492",7089.3
"FR_54579",13027
"FR_54580",13333.5
"FR_54581",11828.6
"FR_54582",12960.4
"FR_54583",14112.2
"FR_54584",14122.5
"FR_54585",16048.4
"FR_54586",14663.6
"FR_54587",15022.8
"FR_54588",15504
"FR_54589",13180.3
"FR_54590",12972.4
"FR_54591",15467.7
"FR_54592",15570.7
"FR_54593",12268.2
"FR_54594",12231.2
"FR_54595",16172.1
"FR_54596",15226.1
"FR_54597",15547.8
"FR_54598",12283.1
"FR_54599",11726.4
"FR_54600",16283.2
"FR_54601",16191.4
"FR_54602",12412.1
"FR_55001",13661.9
"FR_55002",11020.3
"FR_55004",11400
"FR_55005",14108.8
"FR_55007",10781.4
"FR_55008",11498.5
"FR_55009",10082.9
"FR_55010",11052.2
"FR_55011",10594.1
"FR_52275",12401.7
"FR_52276",11412
"FR_52277",12091.4
"FR_52278",10195.1
"FR_52280",12189.2
"FR_52282",10599.8
"FR_52284",11871
"FR_52285",12044.4
"FR_52286",12879.1
"FR_52287",13029.8
"FR_52288",13321.8
"FR_52289",13383.1
"FR_52290",12776.4
"FR_52291",12691.5
"FR_52292",11651.6
"FR_52294",11198.5
"FR_52295",11451.3
"FR_52297",11248.1
"FR_52298",12310.8
"FR_52300",11709.9
"FR_52301",12716.4
"FR_52302",11905.3
"FR_52303",13290.9
"FR_52304",12935.7
"FR_52305",11856.3
"FR_52306",12535.8
"FR_52307",11265.7
"FR_52308",9827.9
"FR_53262",10541.1
"FR_53263",11851.7
"FR_53264",10136.7
"FR_53265",10191.7
"FR_53266",11093.8
"FR_53267",10115.2
"FR_53269",12353
"FR_53270",13616.5
"FR_53271",11341.9
"FR_53272",11397.6
"FR_53273",11625.9
"FR_53274",10378.7
"FR_53276",10511.2
"FR_54001",14260.5
"FR_54002",11704.1
"FR_54003",14314.1
"FR_54004",12103.6
"FR_54005",15892.2
"FR_54006",14687.8
"FR_54007",14422.8
"FR_54008",14083
"FR_54009",11196.9
"FR_54010",14401.6
"FR_54011",13237.1
"FR_54012",15405.7
"FR_54013",16718.6
"FR_54014",17309.3
"FR_54015",12586.2
"FR_51493",6232.1
"FR_51495",6479.2
"FR_51496",9096.1
"FR_51497",10270.3
"FR_51498",8789.3
"FR_51499",8059.5
"FR_51500",9293
"FR_51501",8209.9
"FR_51502",8573.3
"FR_51503",7533.7
"FR_51504",7529.1
"FR_51505",7362.4
"FR_51506",7802.2
"FR_51507",8456.2
"FR_51508",9456.3
"FR_51509",7644.8
"FR_51510",9403.4
"FR_51511",7035.3
"FR_51512",8202.9
"FR_51513",10394.2
"FR_51514",6348.6
"FR_51515",8429.8
"FR_51516",7404.8
"FR_51517",8069.3
"FR_51518",6261
"FR_51519",9404.9
"FR_51520",10632.4
"FR_51521",10298
"FR_51522",10079.6
"FR_51523",5730.3
"FR_51524",7126.2
"FR_55012",12728.4
"FR_55013",12310.3
"FR_55014",9680.9
"FR_55015",11136.7
"FR_55017",9456.8
"FR_55018",11153.6
"FR_55021",11383.4
"FR_55022",12441.6
"FR_55023",10327.1
"FR_55024",11461.9
"FR_55025",12116
"FR_55026",14019.2
"FR_55027",11362.2
"FR_55028",11249.7
"FR_55029",11203.4
"FR_55031",10959.5
"FR_55032",11793.7
"FR_55033",10549.3
"FR_55034",13041.8
"FR_55035",11538.7
"FR_55036",11651.5
"FR_55037",11884.1
"FR_55038",10071.8
"FR_55039",12226.1
"FR_55040",10163
"FR_55041",11327.9
"FR_55042",10268.9
"FR_55043",10407.2
"FR_55044",11261.3
"FR_55045",10702.4
"FR_52310",11194.4
"FR_52311",12678.8
"FR_52312",11676.2
"FR_52313",11927.5
"FR_52315",11224.7
"FR_52316",12405.1
"FR_52318",13723.3
"FR_52319",12438.5
"FR_52320",12292.3
"FR_52321",11566.6
"FR_52322",11168
"FR_52325",12613.3
"FR_52326",11252
"FR_52327",10488.4
"FR_52328",13127.8
"FR_52330",9983.9
"FR_52331",11155.4
"FR_52332",11700.9
"FR_52335",12487.9
"FR_52336",11676.8
"FR_52337",12338.5
"FR_52341",12152
"FR_52342",13357.7
"FR_52344",12402.5
"FR_52346",12294.8
"FR_52347",11359.9
"FR_52348",11954
"FR_54016",13297.6
"FR_54017",18956.1
"FR_54018",11939.4
"FR_54019",12983.7
"FR_54020",15505.4
"FR_54021",14826
"FR_54022",12813.5
"FR_54023",15350.1
"FR_54024",14539.5
"FR_54025",15359.8
"FR_54026",15752.3
"FR_54027",13644.6
"FR_54028",11493
"FR_54029",12538.5
"FR_54030",16919.1
"FR_54031",13993.7
"FR_54032",15574.7
"FR_54033",12125.3
"FR_54034",13692.2
"FR_54035",16494.4
"FR_54036",11893
"FR_54037",15336.4
"FR_54038",16545.5
"FR_54039",16863.8
"FR_54040",17555.7
"FR_54041",14335.4
"FR_54042",15923.2
"FR_54043",15070
"FR_54044",17179.6
"FR_54045",15903.8
"FR_54046",14628.4
"FR_54047",14388.7
"FR_54048",11587.1
"FR_51525",7942
"FR_51526",6533.3
"FR_51527",6149.9
"FR_51528",10244.6
"FR_51529",7310.9
"FR_51530",7313.8
"FR_51531",10550.1
"FR_51532",6372.2
"FR_51533",9525.2
"FR_51534",6125
"FR_51535",6095.6
"FR_51536",6061.4
"FR_51537",9065.4
"FR_51538",8034.3
"FR_51539",9980.1
"FR_51542",6484.7
"FR_51543",8949.8
"FR_51544",9020.7
"FR_51545",7920.5
"FR_51546",8399.4
"FR_51547",8627
"FR_51548",8145.1
"FR_51549",8736.1
