"id","duration"
"FR_63298",18591.8
"FR_63299",18221.6
"FR_63300",15348.7
"FR_63301",16520.9
"FR_63302",16013.6
"FR_63303",19134
"FR_63304",16006
"FR_63305",17212.3
"FR_63306",16483.7
"FR_63307",16271
"FR_63308",16439
"FR_63309",21704.5
"FR_63310",17529.2
"FR_63311",14782.3
"FR_63312",19763.6
"FR_63313",19208.4
"FR_64311",28747.5
"FR_64312",29902.5
"FR_64313",31337.9
"FR_64314",31495.4
"FR_64315",29541.8
"FR_64316",33862
"FR_64317",29224.4
"FR_64318",29272
"FR_64319",30810
"FR_64320",33026.2
"FR_64321",28413.2
"FR_64322",31996.4
"FR_64323",29332.4
"FR_64324",30555.3
"FR_64325",30910.2
"FR_64326",30707.6
"FR_64327",33302.8
"FR_64328",31090.6
"FR_64329",29617.4
"FR_64330",33739
"FR_64331",29286.2
"FR_64332",28446.7
"FR_64334",28865.4
"FR_64335",28928.1
"FR_64336",34334.8
"FR_64337",29107
"FR_64338",29523.6
"FR_64339",31038.3
"FR_64340",32829.5
"FR_64341",30858.6
"FR_65247",31597.8
"FR_65248",29542.7
"FR_65249",30389.9
"FR_65250",31431
"FR_65251",30555.3
"FR_65252",30425.3
"FR_65253",31761.4
"FR_65254",31082.4
"FR_65255",31820.1
"FR_65256",30630.9
"FR_65257",30575.5
"FR_65258",30060.1
"FR_65259",31037.7
"FR_65260",31312.1
"FR_65261",30874.6
"FR_65262",29716.3
"FR_65263",30763
"FR_65264",29289.9
"FR_65265",31227.7
"FR_65266",30851.1
"FR_65267",31904.6
"FR_65268",31103.2
"FR_65269",30811.9
"FR_65270",30953.2
"FR_65271",31221.8
"FR_65272",30828.6
"FR_65273",30277.5
"FR_65274",31163.8
"FR_65275",31597.5
"FR_65276",31034.2
"FR_65277",30023.3
"FR_65278",30756.4
"FR_65279",30295
"FR_65280",30509.2
"FR_65281",31335.6
"FR_65282",33126.7
"FR_65283",32475.9
"FR_67061",17149.2
"FR_67062",20116.5
"FR_67063",19954.5
"FR_67065",18283.4
"FR_67066",19859.6
"FR_67067",17549.3
"FR_67068",17358
"FR_67069",19141.1
"FR_67070",15414
"FR_67071",15952.4
"FR_67072",16304.2
"FR_67073",19866.3
"FR_67074",19253
"FR_67075",19413.1
"FR_67076",19084.2
"FR_67077",18139.5
"FR_67078",17093.9
"FR_67079",19251.2
"FR_67080",18288.3
"FR_67081",17969
"FR_67082",18554.2
"FR_67083",18394.1
"FR_67084",19675
"FR_67085",18005
"FR_67086",19983
"FR_67087",17826.8
"FR_67088",16079.1
"FR_67089",16861.4
"FR_67090",20138.6
"FR_67091",16022.1
"FR_67092",20203
"FR_67093",18965.1
"FR_67094",19910.6
"FR_63314",19176.9
"FR_63315",16363.2
"FR_63317",16099.2
"FR_63318",15838.9
"FR_63319",21567.7
"FR_63320",17377
"FR_63321",17381.4
"FR_63322",15427.1
"FR_63323",19414.2
"FR_63324",19743.5
"FR_63325",16523.8
