"id","duration"
"FR_45061",5275.9
"FR_45062",5738.7
"FR_45063",8101.6
"FR_45064",7643.1
"FR_45065",4957.6
"FR_45066",6343
"FR_45067",6225.6
"FR_45068",5400.7
"FR_45069",6532.6
"FR_45070",7745.4
"FR_45072",6161
"FR_45073",5863.1
"FR_45074",6439.3
"FR_45075",5741.6
"FR_45076",5867.1
"FR_45077",6526.5
"FR_45078",5892.3
"FR_46176",21570.4
"FR_46177",21435.2
"FR_46178",20662
"FR_46179",23244.6
"FR_46180",23165.5
"FR_46181",20991
"FR_46182",22923.1
"FR_46183",22250.5
"FR_46184",22851.5
"FR_46185",19553.1
"FR_46186",20778.4
"FR_46187",24338
"FR_46188",21686.9
"FR_46189",21480
"FR_46190",21395.5
"FR_46191",22113.1
"FR_46192",20075.6
"FR_46193",20531.8
"FR_46194",21284.1
"FR_46195",22600.6
"FR_46196",21476.6
"FR_46197",22428.5
"FR_46198",23159.7
"FR_46199",23944
"FR_46200",23085.9
"FR_46201",23819
"FR_46202",22354.3
"FR_43030",21659.6
"FR_43031",20296.3
"FR_43032",22220.7
"FR_43033",18524.6
"FR_43034",22545.7
"FR_43035",20776.4
"FR_43036",20990.3
"FR_43037",22576.5
"FR_43038",18142.6
"FR_43039",22642.4
"FR_43040",18468.7
"FR_43041",22083.5
"FR_43042",22268.3
"FR_43043",21367
"FR_43044",19709.8
"FR_43045",21678.1
"FR_43046",21847.1
"FR_43047",22686.8
"FR_43048",20364.7
"FR_43049",23331.5
"FR_43050",17985
"FR_43051",23675.8
"FR_43052",19235.4
"FR_43053",23261.7
"FR_43054",21926.5
"FR_43055",19141.8
"FR_43056",20564.2
"FR_43057",20963.6
"FR_43058",21787.7
"FR_44215",15197.4
"FR_44216",16322.7
"FR_44217",15610.6
"FR_44218",14329.2
"FR_44220",16591.1
"FR_44221",15985.3
"FR_44222",13805.7
"FR_44223",15979.6
"FR_44224",16178.9
"FR_45001",6336.3
"FR_45002",6981.1
"FR_45004",5666.7
"FR_45005",4659.6
"FR_45006",6419.3
"FR_45008",4962.2
"FR_45009",5579.7
"FR_45010",5610.9
"FR_45011",5993.2
"FR_45012",4643.5
"FR_45013",4489
"FR_45014",5048.5
"FR_45015",4616.5
"FR_45016",7281.4
"FR_45017",6010.8
"FR_45018",5129.9
"FR_45019",6618.8
"FR_45079",7281.8
"FR_45080",5123.1
"FR_45081",6657.4
"FR_45082",6881.7
"FR_45083",6302.3
"FR_45084",6552
"FR_45085",6437.6
"FR_45086",5648.1
"FR_45087",6997.7
"FR_45088",5170.1
"FR_45089",6286.7
"FR_45091",4979.7
"FR_45092",5292.5
"FR_45093",5365.5
"FR_45094",4822.7
"FR_45095",6210.1
"FR_45096",6309
"FR_45097",5849.1
"FR_45098",6524.7
"FR_45099",5979.3
"FR_45100",6427.1
"FR_45101",6556.2
"FR_45102",5605.5
"FR_45103",5635.2
"FR_45104",5670.2
"FR_45105",5773.8
"FR_45107",6511.9
"FR_45108",7404.6
"FR_46203",23044.8
"FR_46204",20360.3
"FR_46205",22649.8
"FR_46206",24053.1
"FR_46207",24000.1
"FR_46208",20247.5
"FR_46209",20417.9
"FR_46210",21091.5
"FR_46211",22117.7
"FR_46212",21818.4
"FR_46213",20982.9
"FR_46214",22723.6
"FR_46215",20645.3
"FR_46216",21593.2
"FR_46217",22492.9
"FR_46218",23438.6
"FR_46219",21985.6
"FR_46220",20046.3
"FR_46221",22926.3
"FR_46222",23553.1
"FR_46223",22732
"FR_46224",22361
"FR_46225",23271.3
"FR_46226",23624.6
"FR_46227",23870.3
"FR_46228",21137.5
"FR_46229",20754.5
"FR_46230",23757.6
"FR_43059",20164.2
"FR_43060",21028.7
"FR_43061",22636.7
"FR_43062",21146
"FR_43063",19616.8
"FR_43064",19408.2
"FR_43065",20506.4
"FR_43066",24048.7
"FR_43067",20009.7
"FR_43068",21398.5
"FR_43069",23217.8
"FR_43070",19705.9
"FR_43071",21362.5
"FR_43072",19116.9
"FR_43073",19755.9
"FR_43074",18260
"FR_43075",20023.1
"FR_43076",20302.8
"FR_43077",22453.8
"FR_43078",22529.8
"FR_43079",19460.2
"FR_43080",21583.8
"FR_43082",21222.5
"FR_43083",21294.1
"FR_43084",22123.1
"FR_43085",21637.6
"FR_43086",19438.5
"FR_43087",22333.3
"FR_43088",18148.6
"FR_40153",27699.8
"FR_40154",26482.2
"FR_40155",27097.4
"FR_40156",24511.9
"FR_40157",27315.6
"FR_40158",26360.7
"FR_40159",28042.4
"FR_40160",28816.9
"FR_40161",26836.1
"FR_40162",26298.9
"FR_40163",25431.9
"FR_40164",25662.8
"FR_40165",26562.5
"FR_40166",27694.8
"FR_40167",26337.4
"FR_40168",26847.1
"FR_40169",25238.2
"FR_40170",26464.6
"FR_40171",24869.3
"FR_40172",28904.4
"FR_40173",28761.6
"FR_40174",27985.6
"FR_40175",27047.4
"FR_40176",27164.6
"FR_40177",28950.8
"FR_40178",26402.2
"FR_40179",27734
"FR_40180",27590.7
"FR_40181",27967.6
"FR_45109",6320.1
"FR_45110",6024.5
"FR_45111",6142.3
"FR_45112",6269.8
"FR_45113",5901.2
"FR_45114",5730.8
"FR_45115",5369.6
"FR_45116",6750.6
"FR_45118",5979.8
"FR_45119",5423.8
"FR_45120",7401.2
"FR_45121",6608.3
"FR_45122",6930.5
"FR_45123",7038.9
"FR_45124",4232
"FR_45125",4477.5
"FR_45126",6843
"FR_45127",4388.6
"FR_45129",5878.5
"FR_45130",6741.4
"FR_45131",4902.3
"FR_45132",5373.6
"FR_45133",4835.6
"FR_45134",6779.6
"FR_45135",5020.3
"FR_45136",5259.4
"FR_45137",5630.9
"FR_45138",6752.3
"FR_45139",5206.3
"FR_41234",8826.7
"FR_41235",8561.5
"FR_41236",9726.7
"FR_41237",9057.3
"FR_41238",8795.2
"FR_41239",10159.7
"FR_41241",8333.3
"FR_41242",10021.2
"FR_41243",8941.7
"FR_41245",7030.9
"FR_41246",8228.7
"FR_41247",8872.2
"FR_41248",7812
"FR_41249",8408.7
"FR_41250",9751.5
"FR_41251",8172.9
"FR_41252",7282.8
"FR_41253",7405.3
"FR_41254",8426.8
"FR_41255",10104.5
"FR_41256",8509
"FR_41258",10000
"FR_41259",9516.2
"FR_41260",7818.6
"FR_41261",8387.9
"FR_43089",21651.6
"FR_43090",21979.9
"FR_43091",23710.4
"FR_43092",23625.8
"FR_43093",20934.9
"FR_43094",20631.6
"FR_43095",20338.6
"FR_43096",18749.6
"FR_43097",23919.9
"FR_43098",23227
"FR_43099",17879.8
"FR_43100",19286.6
"FR_43101",22956
"FR_43102",22667.3
"FR_43103",18340.4
"FR_43104",22164.8
"FR_43105",18970.9
"FR_43106",20284.8
"FR_43107",20378.7
"FR_43108",21098.1
"FR_43109",23931
"FR_43110",18664
"FR_43111",22687.2
"FR_43112",20315.2
"FR_43113",22688.8
"FR_43114",22853.3
"FR_43115",22939
"FR_43116",19691.7
"FR_40182",26232.7
"FR_40183",28482.7
"FR_40184",26851.6
"FR_40185",27889.2
"FR_40186",29164.1
"FR_40187",27669.9
"FR_40188",28470.1
"FR_40189",29244.7
"FR_40190",28741.8
"FR_40191",28218.6
"FR_40192",26526.6
"FR_40193",27341.8
"FR_40194",28748.5
"FR_40195",28154.9
"FR_40196",27918.8
"FR_40197",26104.6
"FR_40198",28741.1
"FR_40199",28813.4
"FR_40200",24701.4
"FR_40201",28877.6
"FR_40202",27849
"FR_40203",28760.3
"FR_40204",28690.1
"FR_40205",28846.6
"FR_40206",28740.3
"FR_40207",28168
"FR_40208",28180.1
"FR_40209",28506.3
"FR_45141",6997.9
"FR_45142",6803.9
"FR_45143",6536.1
"FR_45144",7199
"FR_45145",4856.5
"FR_45146",6973.9
"FR_45147",5677.1
"FR_45148",4788.3
"FR_45149",5566
"FR_45150",5889.5
"FR_45151",5437.8
"FR_45152",6476.2
"FR_45153",7295.1
"FR_45154",5731.2
"FR_45155",6425.8
"FR_45156",5258.5
"FR_45157",5329.7
"FR_45158",5746.2
"FR_45159",4860.3
"FR_45160",5448.8
"FR_45161",5212.8
"FR_45162",5440.1
"FR_45164",7797.5
"FR_45165",6332.5
"FR_45166",5575.9
"FR_45167",6375.3
"FR_41262",8364.3
"FR_41265",9808.5
"FR_41266",8684.1
"FR_41267",9487.9
"FR_41268",8892.4
"FR_41269",8632.3
"FR_41271",8687.4
"FR_41273",8281.7
"FR_41274",9985.4
"FR_41275",8316.2
"FR_41276",7569
"FR_41277",7815
"FR_41278",9042.1
"FR_41279",10509.4
"FR_41280",9294.8
"FR_41281",8191.3
"FR_41282",8784.3
"FR_41283",8499.5
"FR_41284",8259.3
"FR_41285",7427.1
"FR_41286",9460.5
"FR_41287",8977
"FR_41288",7903.5
"FR_41289",7006.6
"FR_41290",8409.1
"FR_41291",8906.8
"FR_41292",7345.6
"FR_41293",9544
"FR_43117",19077.2
"FR_43118",19945.6
"FR_43119",22239.5
"FR_43120",17755.2
"FR_43121",18177.2
"FR_43122",21036.1
"FR_43123",18130.3
"FR_43124",20833
"FR_43125",18851.6
"FR_43126",22533.3
"FR_43127",22503.6
"FR_43128",20454
"FR_43129",22951.7
"FR_43130",23712
"FR_43131",19854.3
"FR_43132",19897.9
"FR_43133",19630.7
"FR_43134",23298.5
"FR_43135",23147.7
"FR_43136",22106.6
"FR_43137",21830
"FR_43138",21182.3
"FR_43139",20099.2
"FR_43140",21865.9
"FR_43141",22673.7
"FR_43142",22849.9
"FR_43143",23041.8
"FR_43144",23198.4
"FR_40210",25874.3
"FR_40211",27825.3
"FR_40212",28328.8
"FR_40213",28419.8
"FR_40214",29368.3
"FR_40215",27427.4
"FR_40216",28959.7
"FR_40217",25285.9
"FR_40218",27788.6
"FR_40219",28238.2
"FR_40220",27955.8
"FR_40221",26985.1
"FR_40222",27915.2
"FR_40223",29141.4
"FR_40224",28672.4
"FR_40225",28783.5
"FR_40226",28424.3
"FR_40227",24904.4
"FR_40228",28950.8
"FR_40229",25894.5
"FR_40230",27659.9
"FR_40231",28386
"FR_40232",28846.3
"FR_40233",28657.1
"FR_40234",26231.9
"FR_40235",28411.4
"FR_45168",6839.1
"FR_45169",5962.3
"FR_45170",4613.2
"FR_45171",8260.4
"FR_45173",6968.7
"FR_45174",5964.6
"FR_45175",6528.3
"FR_45176",5470.7
"FR_45177",5639.9
"FR_45178",5649.1
"FR_45179",7169.2
"FR_45180",6105.3
"FR_45181",5080.5
"FR_45182",7010.1
"FR_45183",5312.7
"FR_45184",7609.6
"FR_45185",5560.2
"FR_45186",5967.6
"FR_45187",6694.8
"FR_45188",6461.7
"FR_45189",5543.8
"FR_45191",4662.7
"FR_45193",7029.6
"FR_45194",6628.1
"FR_45195",5858.1
"FR_45196",6953.7
"FR_45197",6334.2
"FR_41294",9256.2
"FR_41295",7753.1
"FR_41296",7649.6
"FR_41297",7373.5
"FR_42001",21631.3
"FR_42002",19071.3
"FR_42003",16726.6
"FR_42005",20053
"FR_42006",22206.4
"FR_42007",18791.6
"FR_42008",17889.8
"FR_42009",19320.7
"FR_42010",20291.2
"FR_42011",18645.3
"FR_42012",20948.5
"FR_42013",19893.3
"FR_42014",17947
"FR_42015",18391.8
"FR_42016",17451.9
"FR_42017",21539.4
"FR_42018",20721.4
"FR_42019",19322.5
"FR_42020",19657.3
"FR_42021",20812.1
"FR_42022",20388.8
"FR_42023",21543.9
"FR_42025",18271.2
"FR_42026",17460.9
"FR_43145",22662.7
"FR_43147",18645.4
"FR_43148",19403.9
"FR_43149",21385.6
"FR_43150",22751.8
"FR_43151",21032.5
"FR_43152",21689.5
"FR_43153",21463.2
"FR_43154",23592.5
"FR_43155",21134.9
"FR_43156",23722.2
"FR_43157",22161
"FR_43158",22887.9
"FR_43159",22727.6
"FR_43160",23649.6
"FR_43162",22781.9
"FR_43163",22278.8
"FR_43164",22491.6
"FR_43165",23051
"FR_43166",22554.9
"FR_43167",20507.5
"FR_43168",23300.9
"FR_43169",20537.2
"FR_43170",18229.4
"FR_43171",21382.8
"FR_43172",22415.3
"FR_43173",23114.5
"FR_40236",28695
"FR_40237",28180.8
"FR_40238",27172.1
"FR_40239",28488.8
"FR_40240",27836.5
"FR_40242",28028.8
"FR_40243",26662.8
"FR_40244",27481.8
"FR_40245",25666.9
"FR_40246",25862.9
"FR_40247",27448.3
"FR_40248",28494.4
"FR_40249",28867.2
"FR_40250",26324.9
"FR_40251",28892.3
"FR_40252",27994.8
"FR_40253",28510.1
"FR_40254",29225.8
"FR_40255",26566.9
"FR_40256",28263.9
"FR_40257",26610.4
"FR_40258",26495.8
"FR_40259",26980.9
"FR_40260",28351.8
"FR_40261",27330.2
"FR_40262",26541.8
"FR_40263",28085.7
"FR_40264",27679.4
"FR_40265",26956.2
"FR_40266",27175.3
"FR_45198",5309.8
"FR_45199",6852.7
"FR_45200",7621.9
"FR_45201",5524.4
"FR_45202",6641.7
"FR_45203",6455.2
"FR_45204",6267.5
"FR_45205",5821.7
"FR_45206",5684.9
"FR_45207",5869.1
"FR_45208",5332.2
"FR_45209",5898
"FR_45210",6186.8
"FR_45212",5856.4
"FR_45213",6395.9
"FR_45214",6326.5
"FR_45215",6270.4
"FR_45216",5467.2
"FR_45217",4954.9
"FR_45218",6442.6
"FR_45219",5695
"FR_45220",6402.2
"FR_45222",5021.9
"FR_45223",6521.1
"FR_45224",5980
"FR_45225",5095.2
"FR_45226",7913.5
"FR_45227",6778.9
"FR_45228",6686.2
"FR_42027",18230.6
"FR_42028",21860.6
"FR_42029",19276.9
"FR_42030",19064.6
"FR_42031",21261.2
"FR_42032",20070.7
"FR_42033",18890.3
"FR_42034",17997.2
"FR_42035",19440.2
