"id","duration"
"FR_27467",7077.3
"FR_27468",6822.5
"FR_27469",5105.2
"FR_27470",5992.1
"FR_27471",5243
"FR_27472",6257.2
"FR_27473",4786.2
"FR_27474",5297.7
"FR_27475",7895.5
"FR_27476",7303.3
"FR_27477",4447.1
"FR_27478",4962.1
"FR_27480",5335.2
"FR_27481",6246.6
"FR_25382",16220.9
"FR_25383",15955.5
"FR_25384",17397.1
"FR_25385",17605.4
"FR_25386",20524.5
"FR_25387",19473.1
"FR_25388",17962.7
"FR_25389",18671
"FR_25390",18872.1
"FR_25391",18448.8
"FR_25392",19429.1
"FR_25393",18958.9
"FR_25394",17835.8
"FR_25395",16038.7
"FR_25397",15278.3
"FR_25398",19112.7
"FR_25400",17492
"FR_25401",17424.8
"FR_25402",19570.4
"FR_25403",19218.6
"FR_25404",17705.4
"FR_25405",19171.1
"FR_25406",16258.8
"FR_25408",17280.9
"FR_25410",15805.2
"FR_25411",19039.3
"FR_25413",19064.9
"FR_25414",14944.8
"FR_25415",17995
"FR_25416",16955.1
"FR_23257",16841
"FR_23258",13316.3
"FR_23259",13962
"FR_23260",16971.6
"FR_23261",14064.3
"FR_23262",15322.5
"FR_23263",14088.6
"FR_23264",18348.1
"FR_23265",17121.8
"FR_23266",16761.2
"FR_24001",18624.3
"FR_24002",20352.9
"FR_24004",19864
"FR_24005",22282.2
"FR_24006",22559.1
"FR_24007",21003.1
"FR_24008",17841
"FR_24009",18567.6
"FR_24010",21537.2
"FR_24011",20257
"FR_24012",20429
"FR_24014",19926.4
"FR_24015",21967.4
"FR_24016",18972.3
"FR_24018",19887.9
"FR_24019",19346.8
"FR_24020",19348
"FR_24021",19539.9
"FR_26329",27334.9
"FR_26330",20711.1
"FR_26331",22624
"FR_26332",21156.4
"FR_26333",20708.6
"FR_26334",24545.2
"FR_26335",24811.2
"FR_26336",24302.1
"FR_26337",22727.7
"FR_26338",23290.2
"FR_26339",23366.5
"FR_26340",29588.5
"FR_26341",21392.5
"FR_26342",24870.5
"FR_26343",24392.2
"FR_26344",23848.4
"FR_26345",24810
"FR_26346",23924.3
"FR_26347",20933.8
"FR_26348",25071.7
"FR_26349",22068.8
"FR_26350",25768
"FR_26351",25118.6
"FR_26352",24353.6
"FR_26353",22778
"FR_26355",22403.2
"FR_26356",24999.5
"FR_26357",25302.9
"FR_26358",22637.7
"FR_24455",21325.3
"FR_24456",22349.8
"FR_24457",22454.3
"FR_24458",19804
"FR_24459",21810.8
"FR_24460",21371.9
"FR_24461",23099.5
"FR_24462",22270.6
"FR_24463",18610.9
"FR_24464",18822.5
"FR_24465",22543.9
"FR_24466",23729.1
"FR_24468",22131.6
"FR_24470",21024.6
"FR_24471",20682
"FR_24472",23299.1
"FR_24473",19794.6
"FR_24474",20026.7
"FR_24476",19147.2
"FR_24477",21786.2
"FR_24478",23412.7
"FR_24479",19188.5
"FR_24480",21419.2
"FR_24481",18634.2
"FR_24482",20777.3
"FR_24483",23620.5
"FR_24484",20652.6
"FR_24485",19324.6
"FR_24486",17882.2
"FR_25417",16849
"FR_25418",16406.9
"FR_25419",17207.5
"FR_25420",17279.4
"FR_25421",18779.8
"FR_25422",18169.5
"FR_25424",17340.5
"FR_25425",18621.5
"FR_25426",18409.3
"FR_25427",15192.3
"FR_25428",17927.1
"FR_25429",16122
"FR_25430",16972.6
"FR_25431",17831.5
"FR_25432",18140.6
"FR_25433",19079.8
"FR_25434",16981.9
"FR_25435",17588
"FR_25436",17514.9
