"id","duration"
"FR_58090",10562.6
"FR_58092",11207.4
"FR_58093",10552.5
"FR_58094",8509.8
"FR_58095",11821.1
"FR_58096",11931.6
"FR_58097",11635.2
"FR_58098",11294.8
"FR_58099",12803
"FR_58101",10027.9
"FR_58102",8568.4
"FR_58103",10211.5
"FR_58104",11744.6
"FR_59257",9299.8
"FR_59258",9257.2
"FR_59259",9164.4
"FR_59260",11848.6
"FR_59261",11050.2
"FR_59262",10560.2
"FR_59263",8276
"FR_59264",9867.4
"FR_59265",9203.6
"FR_59266",8626
"FR_59267",7322.7
"FR_59268",9449.1
"FR_59269",7461
"FR_59270",10370.1
"FR_59271",11715.8
"FR_59272",11830.2
"FR_59273",11762.2
"FR_59274",9444
"FR_59275",9205.7
"FR_59276",8511.7
"FR_59277",9293.1
"FR_59278",9083.9
"FR_59279",9591.1
"FR_59280",8162.7
"FR_59281",8933.9
"FR_59282",10934
"FR_59283",9545
"FR_59284",8500.6
"FR_59285",8131.1
"FR_59286",8925.7
"FR_59287",8218.9
"FR_59288",7745.7
"FR_59289",8473.6
"FR_59290",10756.8
"FR_59291",9729.5
"FR_59292",7932.9
"FR_56143",18009.5
"FR_56144",18479
"FR_56145",16812.3
"FR_56146",18856.4
"FR_56147",17619.5
"FR_56148",20024.9
"FR_56149",18210.7
"FR_56151",18581.7
"FR_56152",23746.3
"FR_56153",18022.9
"FR_56154",17244.7
"FR_56155",18260.4
"FR_56156",20399.8
"FR_56157",18449.9
"FR_56158",19128.5
"FR_56159",17690.1
"FR_56160",17828.3
"FR_56161",19571
"FR_56162",20557.6
"FR_56163",20133.8
"FR_56164",18865.6
"FR_56165",16487.9
"FR_57388",14750.4
"FR_57389",14543.7
"FR_57390",17178.2
"FR_57391",14086.7
"FR_57392",13178
"FR_57393",16876.5
"FR_57394",15234.1
"FR_57395",14230.1
"FR_57396",12287.8
"FR_57397",15522.3
"FR_57398",14877.6
"FR_57399",15290.4
"FR_57401",15533.9
"FR_57402",17736.4
"FR_57403",13142.3
"FR_57404",15986.7
"FR_57405",15949.3
"FR_57406",13587.3
"FR_57407",16510.1
"FR_57408",14660.2
"FR_57409",14589.8
"FR_57410",16282
"FR_57411",12354
"FR_57412",12529.7
"FR_57413",13778.2
"FR_57414",17197.7
"FR_57415",12238
"FR_57416",13393
"FR_57417",16310.1
"FR_57418",16377.6
"FR_57419",14281.5
"FR_57421",16911.5
"FR_58105",10990
"FR_58106",10406.1
"FR_58107",12783.9
"FR_58108",10692.2
"FR_58109",9142.6
"FR_58110",11966
"FR_58111",13398.6
"FR_58112",10328.5
"FR_58113",12051.9
"FR_58114",13450.1
"FR_58115",10865.9
"FR_58116",10858.9
"FR_58117",9632
"FR_58118",12698
"FR_58119",11496.1
"FR_58120",11770.9
"FR_58121",9423.9
"FR_58122",8611.2
"FR_58123",11413.2
"FR_58124",9471.5
"FR_58125",12038.8
"FR_58126",10067.5
"FR_58127",10455.4
"FR_58128",14090.8
"FR_58129",11305.7
"FR_58130",11149.4
"FR_58131",9963.2
"FR_58132",11287.9
"FR_58133",11558.9
"FR_59293",9676.8
"FR_59294",7528.1
"FR_59295",10333.1
"FR_59296",9481.8
"FR_59297",8266.5
"FR_59299",9213.1
"FR_59300",8002.7
"FR_59301",9505.3
"FR_59302",8346
"FR_59303",8984.1
"FR_59304",8732.1
"FR_59305",10780.3
"FR_59306",11103.4
"FR_59307",10657.3
"FR_59308",10573.1
"FR_59309",11302.5
"FR_59310",9464.9
"FR_59311",9106.9
"FR_59312",7811.3
"FR_59313",7352.4
"FR_59314",8207.1
