"id","duration"
"FR_24266",21795.5
"FR_24267",23715.4
"FR_24268",21942.7
"FR_24269",18156.8
"FR_24271",19355.8
"FR_24272",23186.5
"FR_24273",22911.5
"FR_24274",23351.6
"FR_24276",24278.2
"FR_24277",23150.8
"FR_24278",23966.7
"FR_24279",24234.9
"FR_24280",23909.3
"FR_24281",23840.9
"FR_24282",23866.7
"FR_24284",20540.5
"FR_24285",22181.5
"FR_24286",21616.9
"FR_24287",24053.8
"FR_24288",23524.7
"FR_24289",23849.2
"FR_24290",23097.5
"FR_24291",19993.3
"FR_27209",6886.4
"FR_27210",6538.7
"FR_27212",5992.2
"FR_27213",4497.3
"FR_27214",5076.7
"FR_27215",5632.1
"FR_27216",5244.8
"FR_27217",6242.1
"FR_27218",7847.3
"FR_27219",6471
"FR_27220",4723
"FR_27222",7726.3
"FR_27224",6335.9
"FR_27226",4691.4
"FR_27227",6622
"FR_27228",6818.4
"FR_27229",4905.4
"FR_27230",4596.5
"FR_27231",4184.2
"FR_27232",4834.3
"FR_27233",7728.5
"FR_27234",4692.1
"FR_27235",6267.9
"FR_27237",7603.6
"FR_27238",5844.1
"FR_27239",8131.9
"FR_27240",6981.1
"FR_27241",5886.4
"FR_27242",6906.6
"FR_25142",18727
"FR_25143",16071.6
"FR_25145",17738.8
"FR_25147",14907.7
"FR_25148",18739.6
"FR_25149",16365.5
"FR_25150",15643.5
"FR_25151",17288.6
"FR_25152",16342.3
"FR_25153",15720.8
"FR_25154",15740
"FR_25155",16986.1
"FR_25156",17304.5
"FR_25157",18984.8
"FR_25159",17951.2
"FR_25160",18721
"FR_25161",18370.4
"FR_25162",15181.8
"FR_25163",15998.3
"FR_25164",15285.4
"FR_25166",17023.7
"FR_25170",17842.1
"FR_25171",16269.4
"FR_25172",15290.1
"FR_25173",18685.2
"FR_25174",19677.6
"FR_25175",17787.3
"FR_25176",17990.5
"FR_25177",17718
"FR_25178",17744.6
"FR_25179",18531.3
"FR_25180",17477.6
"FR_26050",27218.6
"FR_26051",24869.8
"FR_26052",23759.4
"FR_26054",25113.5
"FR_26055",26297.7
"FR_26056",24711.7
"FR_26057",22083
"FR_26058",21266
"FR_26059",24140
